               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.028307,            0.040972,           0.0038558,             0.73943,             0.60358,             0.57177,             0.35563,            0.027207,            0.033035,           0.0064793,             0.00793,             0.00793,             0.00793
                  48,             0.02735,            0.038116,           0.0043221,             0.76372,             0.55397,             0.55969,             0.35988,            0.027712,            0.033564,           0.0066227,            0.007885,            0.007885,            0.007885
                  49,            0.028247,            0.040478,           0.0039564,             0.76483,             0.57894,             0.58045,             0.38861,            0.023626,            0.031246,           0.0065651,             0.00784,             0.00784,             0.00784
                  50,            0.027268,            0.040363,           0.0039036,             0.76608,             0.54436,             0.57959,             0.35546,            0.028155,            0.032313,           0.0065136,            0.007795,            0.007795,            0.007795
                  51,            0.027717,             0.03712,            0.003361,             0.78184,             0.55218,             0.56681,             0.37358,            0.026083,            0.032519,           0.0065025,             0.00775,             0.00775,             0.00775
                  52,            0.027216,            0.039456,           0.0044717,              0.7256,             0.59755,             0.56374,              0.3608,            0.027059,            0.032893,           0.0064049,            0.007705,            0.007705,            0.007705
                  53,            0.026646,            0.038449,           0.0043991,             0.74739,             0.60594,             0.56622,             0.37447,             0.02488,            0.033507,           0.0064823,             0.00766,             0.00766,             0.00766
                  54,            0.026574,            0.039382,           0.0034829,              0.7814,             0.56724,             0.57672,             0.36223,             0.02543,            0.033232,           0.0059822,            0.007615,            0.007615,            0.007615
                  55,             0.02655,            0.040309,           0.0035923,             0.72937,             0.59335,             0.56728,             0.37045,            0.024177,             0.03393,           0.0065674,             0.00757,             0.00757,             0.00757
                  56,            0.025394,            0.038012,           0.0039139,             0.81673,             0.55241,             0.57709,             0.37925,            0.024105,            0.033095,           0.0062393,            0.007525,            0.007525,            0.007525
                  57,             0.02595,            0.038197,           0.0036443,             0.77585,             0.55592,             0.58685,             0.38376,            0.024512,            0.032792,           0.0059288,             0.00748,             0.00748,             0.00748
                  58,            0.026409,            0.038049,           0.0034155,             0.78903,             0.58989,             0.62683,             0.39486,            0.024861,            0.032804,           0.0063454,            0.007435,            0.007435,            0.007435
                  59,            0.025638,            0.038187,            0.003507,             0.78903,             0.57836,             0.59098,             0.38484,             0.02396,             0.03314,           0.0060883,             0.00739,             0.00739,             0.00739
                  60,            0.025556,            0.038251,           0.0033635,             0.76283,             0.58419,             0.58349,             0.36467,            0.027805,            0.033924,           0.0061695,            0.007345,            0.007345,            0.007345
                  61,            0.025628,            0.039177,            0.003498,              0.7615,             0.60338,             0.60179,             0.38687,            0.024108,            0.033307,           0.0062412,              0.0073,              0.0073,              0.0073
                  62,            0.025759,            0.039409,           0.0030799,             0.74608,             0.64264,             0.61412,             0.37723,            0.026528,            0.033007,            0.006329,            0.007255,            0.007255,            0.007255
